NODE;X_COORD;Y_COORD
1,00E+00;9,81E+05;508139
2,00E+00;5,34E+05;-42453
3,00E+00;5,78E+05;-43732
4,00E+00;5,33E+05;-96645
5,00E+00;2,05E+05;215891
6,00E+00;2,26E+05;197950
7,00E+00;6,98E+04;667632
8,00E+00;3,92E+05;1054524
9,00E+00;3,10E+05;-10714
1,00E+01;2,47E+05;754523
1,10E+01;2,18E+05;218350
1,20E+01;4,43E+05;54051
1,30E+01;4,73E+04;630935
1,40E+01;3,18E+05;713679
1,50E+01;3,02E+05;1021772
1,60E+01;9,51E+05;332234
1,70E+01;2,76E+05;725657
1,80E+01;9,22E+05;410349
1,90E+01;5,56E+05;67090
2,00E+01;4,10E+05;379409
2,10E+01;9,68E+05;540588
2,20E+01;4,01E+04;721860
2,30E+01;7,02E+05;527050
2,40E+01;7,26E+05;326684
2,50E+01;9,90E+05;196959
2,60E+01;3,82E+05;1003805
2,70E+01;4,10E+05;1056227
2,80E+01;6,76E+05;496310
2,90E+01;9,71E+05;188552
3,00E+01;9,32E+05;818793
3,10E+01;9,36E+05;384774
3,20E+01;8,35E+05;517826
3,30E+01;1,20E+05;663239
3,40E+01;6,49E+05;395774
3,50E+01;4,02E+05;126508
3,60E+01;3,08E+05;57178
3,70E+01;3,97E+05;987582
3,80E+01;3,14E+05;949219
3,90E+01;1,05E+05;667806
4,00E+01;1,01E+06;468020
4,10E+01;4,73E+05;311656
4,20E+01;9,70E+05;257334
4,30E+01;9,20E+05;458332
4,40E+01;1,03E+06;436231
4,50E+01;9,34E+05;314744
4,60E+01;2,39E+05;55856
4,70E+01;7,20E+05;525053
4,80E+01;4,81E+05;1058084
4,90E+01;9,70E+05;396578
5,00E+01;5,43E+05;334794
5,10E+01;7,56E+05;491352
5,20E+01;9,76E+05;745618
5,30E+01;2,73E+05;58331
5,40E+01;5,37E+05;165900
5,50E+01;5,20E+05;129315
5,60E+01;3,59E+04;947451
5,70E+01;1,06E+06;490895
5,80E+01;4,89E+05;117496
5,90E+01;6,31E+05;277543
6,00E+01;2,62E+05;961159
6,10E+01;5,35E+05;58056
6,20E+01;6,92E+05;512673
6,30E+01;1,83E+05;715277
6,40E+01;9,46E+05;459916
6,50E+01;6,28E+05;-838
6,60E+01;1,02E+06;283893
6,70E+01;4,59E+05;143747
6,80E+01;2,74E+05;-10984
6,90E+01;2,94E+05;805861
7,00E+01;4,67E+05;160110
7,10E+01;9,06E+05;264649
7,20E+01;7,13E+05;535794
7,30E+01;2,41E+05;212619
7,40E+01;9,94E+05;930601
7,50E+01;3,22E+05;925655
7,60E+01;9,55E+05;443790
7,70E+01;9,96E+05;521789
7,80E+01;2,68E+05;-26353
7,90E+01;6,75E+05;332544
8,00E+01;9,78E+05;748015
8,10E+01;3,53E+05;1077036
8,20E+01;3,72E+05;950118
8,30E+01;7,79E+05;446051
8,40E+01;5,25E+05;311620
8,50E+01;1,03E+06;609181
8,60E+01;6,20E+05;-3330
8,70E+01;6,44E+05;440581
8,80E+01;1,99E+05;272321
8,90E+01;2,81E+05;298348
9,00E+01;4,76E+05;278934
9,10E+01;2,92E+05;964145
9,20E+01;4,76E+05;102274
9,30E+01;3,45E+04;935151
9,40E+01;9,85E+05;331624
9,50E+01;2,55E+04;991767
9,60E+01;1,03E+06;248202
9,70E+01;1,04E+06;983317
9,80E+01;9,23E+05;836157
9,90E+01;7,55E+05;378532
1,00E+02;1,94E+05;209011
1,01E+02;2,70E+05;991097
1,02E+02;6,08E+05;334935
1,03E+02;2,21E+05;712137
1,04E+02;9,41E+05;808773
1,05E+02;3,55E+04;903653
1,06E+02;1,94E+05;-8394
1,07E+02;4,60E+05;335048
1,08E+02;3,32E+05;1096815
1,09E+02;5,39E+05;317093
1,10E+02;5,05E+05;123029
1,11E+02;7,06E+05;481820
1,12E+02;9,74E+05;819460
1,13E+02;3,35E+05;808699
1,14E+02;7,74E+05;491470
1,15E+02;7,28E+05;567077
1,16E+02;4,69E+05;308841
1,17E+02;9,82E+05;808600
1,18E+02;6,36E+05;329982
1,19E+02;5,60E+05;199329
1,20E+02;8,66E+05;362039
1,21E+02;5,66E+05;32945
1,22E+02;9,45E+05;443621
1,23E+02;3,43E+05;1043145
1,24E+02;4,56E+05;356580
1,25E+02;9,31E+05;863608
1,26E+02;4,65E+05;165426
1,27E+02;5,86E+05;271316
1,28E+02;7,81E+04;896258
1,29E+02;2,29E+05;757017
1,30E+02;6,42E+05;302745
1,31E+02;2,66E+05;967350
1,32E+02;-1,86E+04;985581
1,33E+02;4,38E+05;78375
1,34E+02;6,57E+05;473671
1,35E+02;2,07E+05;190512
1,36E+02;1,04E+06;606173
1,37E+02;5,02E+05;342980
1,38E+02;8,09E+05;431227
1,39E+02;9,79E+05;290493
1,40E+02;9,63E+05;325713
1,41E+02;8,58E+05;607859
1,42E+02;6,82E+05;285319
1,43E+02;1,02E+06;948910
1,44E+02;5,56E+05;23786
1,45E+02;8,95E+05;454109
1,46E+02;3,73E+05;947968
1,47E+02;-3,12E+03;976012
1,48E+02;6,18E+05;115270
1,49E+02;7,35E+05;492611
1,50E+02;9,55E+05;617777
1,51E+02;5,65E+05;26652
1,52E+02;8,93E+05;563248
1,53E+02;9,12E+05;841211
1,54E+02;1,08E+06;800957
1,55E+02;7,78E+05;555164
1,56E+02;4,20E+05;135778
1,57E+02;5,11E+05;982963
1,58E+02;6,83E+05;550673
1,59E+02;5,35E+05;150784
1,60E+02;2,55E+05;754810
1,61E+02;3,40E+05;932553
1,62E+02;5,09E+05;312824
1,63E+02;5,80E+05;296187
1,64E+02;9,62E+05;301327
1,65E+02;4,94E+05;175735
1,66E+02;5,01E+05;266573
1,67E+02;4,64E+05;88190
1,68E+02;3,38E+05;671668
1,69E+02;9,65E+05;921962
1,70E+02;7,11E+05;507680
1,71E+02;3,68E+05;96586
1,72E+02;1,06E+06;290085
1,73E+02;5,78E+05;26586
1,74E+02;5,69E+05;276180
1,75E+02;1,20E+05;667734
1,76E+02;4,40E+05;92005
1,77E+02;4,01E+05;986098
1,78E+02;9,44E+05;769857
1,79E+02;6,05E+05;304795
1,80E+02;9,34E+05;485086
1,81E+02;3,37E+05;47017
1,82E+02;9,84E+05;658894
1,83E+02;6,66E+05;341226
1,84E+02;6,84E+05;313080
1,85E+02;2,87E+05;15656
1,86E+02;7,27E+05;436681
1,87E+02;1,96E+05;232311
1,88E+02;4,90E+05;904759
1,89E+02;4,84E+03;638626
1,90E+02;9,64E+05;620951
1,91E+02;1,40E+04;975847
1,92E+02;1,01E+06;457653
1,93E+02;1,09E+06;348419
1,94E+02;3,32E+05;905996
1,95E+02;4,46E+05;299319
1,96E+02;9,90E+05;565952
1,97E+02;6,39E+05;343723
1,98E+02;8,05E+04;761743
1,99E+02;9,19E+05;371845
2,00E+02;9,62E+05;405576
2,01E+02;9,00E+04;730359
2,02E+02;1,07E+06;519460
2,03E+02;3,14E+05;717336
2,04E+02;6,99E+05;548286
2,05E+02;9,90E+05;861550
2,06E+02;4,20E+05;1035929
2,07E+02;9,89E+05;480008
2,08E+02;1,02E+06;244075
2,09E+02;6,76E+05;277962
2,10E+02;1,02E+06;284449
2,11E+02;2,79E+05;70873
2,12E+02;6,67E+04;635082
2,13E+02;7,99E+05;462913
2,14E+02;3,60E+05;959225
2,15E+02;-2,15E+04;941499
2,16E+02;1,80E+05;816588
2,17E+02;6,80E+05;537678
2,18E+02;1,09E+05;697746
2,19E+02;1,02E+06;867072
2,20E+02;2,64E+05;51021
2,21E+02;5,13E+05;119016
2,22E+02;3,25E+05;979758
2,23E+02;-2,30E+04;907079
2,24E+02;4,26E+05;1004271
2,25E+02;2,45E+05;731150
2,26E+02;7,32E+05;490047
2,27E+02;4,95E+05;290024
2,28E+02;8,63E+05;857586
2,29E+02;1,00E+06;453198
2,30E+02;5,80E+03;937511
2,31E+02;3,22E+05;718762
2,32E+02;2,97E+05;940211
2,33E+02;7,80E+04;176061
2,34E+02;3,11E+05;17474
