Archivo: Euclid/211EuclS.txt, Status: Optimal, Objective value: 98091.0, Solve time: 0.11 seconds
Archivo: Euclid/2011EuclS.txt, Status: Optimal, Objective value: 96938.0, Solve time: 1.70 seconds
Archivo: Euclid/111EuclS.txt, Status: Optimal, Objective value: 96116.0, Solve time: 1.69 seconds
Archivo: Euclid/2211EuclS.txt, Status: Optimal, Objective value: 98238.0, Solve time: 1.70 seconds
Archivo: Euclid/1211EuclS.txt, Status: Optimal, Objective value: 98528.0, Solve time: 0.05 seconds
Archivo: Euclid/1911EuclS.txt, Status: Optimal, Objective value: 98617.0, Solve time: 1.70 seconds
Archivo: Euclid/911EuclS.txt, Status: Optimal, Objective value: 100335.0, Solve time: 0.05 seconds
Archivo: Euclid/1111EuclS.txt, Status: Optimal, Objective value: 97181.0, Solve time: 1.70 seconds
Archivo: Euclid/1811EuclS.txt, Status: Optimal, Objective value: 100189.0, Solve time: 1.68 seconds
Archivo: Euclid/2811EuclS.txt, Status: Optimal, Objective value: 100651.0, Solve time: 0.05 seconds
Archivo: Euclid/1311EuclS.txt, Status: Optimal, Objective value: 99880.0, Solve time: 0.05 seconds
Archivo: Euclid/411EuclS.txt, Status: Optimal, Objective value: 102157.0, Solve time: 1.69 seconds
Archivo: Euclid/2911EuclS.txt, Status: Optimal, Objective value: 98699.0, Solve time: 1.69 seconds
Archivo: Euclid/1711EuclS.txt, Status: Optimal, Objective value: 97578.0, Solve time: 1.70 seconds
Archivo: Euclid/711EuclS.txt, Status: Optimal, Objective value: 99331.0, Solve time: 0.05 seconds
Archivo: Euclid/1411EuclS.txt, Status: Optimal, Objective value: 96459.99999999997, Solve time: 0.05 seconds
Archivo: Euclid/811EuclS.txt, Status: Optimal, Objective value: 100277.00000000001, Solve time: 1.69 seconds
Archivo: Euclid/511EuclS.txt, Status: Optimal, Objective value: 98527.0, Solve time: 1.68 seconds
Archivo: Euclid/3011EuclS.txt, Status: Optimal, Objective value: 98845.99999999999, Solve time: 1.69 seconds
Archivo: Euclid/2511EuclS.txt, Status: Optimal, Objective value: 99195.0, Solve time: 1.69 seconds
Archivo: Euclid/1011EuclS.txt, Status: Optimal, Objective value: 95868.0, Solve time: 0.05 seconds
Archivo: Euclid/1611EuclS.txt, Status: Optimal, Objective value: 98486.0, Solve time: 0.05 seconds
Archivo: Euclid/2311EuclS.txt, Status: Optimal, Objective value: 97418.99999999999, Solve time: 0.05 seconds
Archivo: Euclid/2411EuclS.txt, Status: Optimal, Objective value: 96715.0, Solve time: 1.69 seconds
Archivo: Euclid/611EuclS.txt, Status: Optimal, Objective value: 98373.99999999999, Solve time: 0.05 seconds
Archivo: Euclid/1511EuclS.txt, Status: Optimal, Objective value: 99239.0, Solve time: 1.69 seconds
Archivo: Euclid/2111EuclS.txt, Status: Optimal, Objective value: 94611.0, Solve time: 0.05 seconds
