Euclid/1011EuclS.txt: cuOpt_API (0.00%), PULP_CBC_CMD (0.29s)
Euclid/1111EuclS.txt: cuOpt_API (0.00%), PULP_CBC_CMD (0.28s)
Euclid/111EuclS.txt: cuOpt_API (0.00%), PULP_CBC_CMD (0.30s)
Euclid/1211EuclS.txt: cuOpt_API (0.00%), PULP_CBC_CMD (0.30s)
Euclid/1311EuclS.txt: cuOpt_API (0.00%), PULP_CBC_CMD (0.31s)
Euclid/1411EuclS.txt: cuOpt_API (0.00%), PULP_CBC_CMD (0.28s)
Euclid/1511EuclS.txt: cuOpt_API (0.00%), PULP_CBC_CMD (0.53s)
Euclid/1611EuclS.txt: cuOpt_API (0.00%), PULP_CBC_CMD (0.28s)
Euclid/1711EuclS.txt: cuOpt_API (0.00%), PULP_CBC_CMD (0.31s)
Euclid/1811EuclS.txt: cuOpt_API (0.00%), PULP_CBC_CMD (0.28s)
Euclid/1911EuclS.txt: cuOpt_API (0.00%), PULP_CBC_CMD (0.28s)
Euclid/2011EuclS.txt: cuOpt_API (0.00%), PULP_CBC_CMD (0.28s)
Euclid/2111EuclS.txt: cuOpt_API (0.00%), PULP_CBC_CMD (0.33s)
Euclid/211EuclS.txt: cuOpt_API (0.00%), PULP_CBC_CMD (0.30s)
Euclid/2211EuclS.txt: cuOpt_API (0.00%), PULP_CBC_CMD (0.31s)
Euclid/2311EuclS.txt: cuOpt_API (0.00%), PULP_CBC_CMD (0.29s)
Euclid/2411EuclS.txt: cuOpt_API (0.00%), PULP_CBC_CMD (0.30s)
Euclid/2511EuclS.txt: cuOpt_API (0.00%), PULP_CBC_CMD (0.30s)
Euclid/2611EuclS.txt: cuOpt_API (0.00%), PULP_CBC_CMD (0.30s)
Euclid/2711EuclS.txt: cuOpt_API (0.00%), PULP_CBC_CMD (0.28s)
Euclid/2811EuclS.txt: cuOpt_API (0.00%), PULP_CBC_CMD (0.28s)
Euclid/2911EuclS.txt: cuOpt_API (0.00%), PULP_CBC_CMD (0.29s)
Euclid/3011EuclS.txt: cuOpt_API (0.00%), PULP_CBC_CMD (0.30s)
Euclid/311EuclS.txt: cuOpt_API (0.00%), PULP_CBC_CMD (0.29s)
Euclid/411EuclS.txt: cuOpt_API (0.00%), PULP_CBC_CMD (0.65s)
Euclid/511EuclS.txt: cuOpt_API (0.00%), PULP_CBC_CMD (0.31s)
Euclid/611EuclS.txt: cuOpt_API (0.00%), PULP_CBC_CMD (0.31s)
Euclid/711EuclS.txt: cuOpt_API (0.00%), PULP_CBC_CMD (0.29s)
Euclid/811EuclS.txt: cuOpt_API (0.00%), PULP_CBC_CMD (0.28s)
Euclid/911EuclS.txt: cuOpt_API (0.00%), PULP_CBC_CMD (0.31s)
