node_id,name,type,city,segment,lat,lon,customer_type,demand_packages,zbe_required,service_min,ready_min,due_min
0,Madrid – Depósito central,depot,Madrid,depot,40.389,-3.626,,0,0,0,0,1440
1,Valladolid – Hub Noroeste,hub,Valladolid,hub,41.658,-4.776,,0,0,0,0,1440
2,Valencia – Hub Levante,hub,Valencia,hub,39.53,-0.57,,0,0,0,0,1440
3,Zaragoza – Hub Nordeste,hub,Zaragoza,hub,41.659,-1.012,,0,0,0,0,1440
1544,Madrid – Cliente 2018,client,Madrid,urban,40.41049355858297,-3.612230324938967,particular,2,1,5,480,1080
1559,Madrid – Cliente 2039,client,Madrid,urban,40.30757479745256,-3.5637427567893365,particular,3,0,5,480,1080
868,Madrid – Cliente 1140,client,Madrid,regional,40.86266547730023,-5.1419705847372095,particular,3,0,8,480,1080
53,Madrid – Cliente 0066,client,Madrid,urban,40.36801845134804,-3.6669327826524736,particular,2,0,7,480,1080
2157,Madrid – Cliente 2849,client,Madrid,regional,40.50888757190607,-1.810861545085923,particular,3,0,6,480,1080
744,Madrid – Cliente 0963,client,Madrid,urban,40.29904842860116,-3.624443773616127,particular,1,0,7,480,1080
806,Madrid – Cliente 1048,client,Madrid,periurban,40.56557287395232,-3.730413145910047,particular,1,0,5,480,1080
1806,Madrid – Cliente 2367,client,Madrid,urban,40.39113216282711,-3.618478191485076,particular,2,1,5,480,1080
82,Madrid – Cliente 0100,client,Madrid,urban,40.37746852161321,-3.624197986719448,particular,1,1,8,480,1080
764,Madrid – Cliente 0995,client,Madrid,periurban,40.574826893275024,-3.7888704273458593,tienda,16,0,11,480,1080
468,Madrid – Cliente 0608,client,Madrid,urban,40.398000589280045,-3.630942369753581,tienda,16,1,19,480,1080
188,Madrid – Cliente 0240,client,Madrid,regional,40.19105351993181,-2.458954007084261,particular,2,0,8,480,1080
743,Madrid – Cliente 0961,client,Madrid,urban,40.3888999471836,-3.636799666950153,particular,2,1,5,480,1080
709,Madrid – Cliente 0921,client,Madrid,urban,40.33781692621826,-3.667736042947441,particular,5,0,6,480,1080
1971,Madrid – Cliente 2593,client,Madrid,periurban,40.3511817446552,-3.908965780800752,particular,1,0,7,480,1080
1753,Madrid – Cliente 2297,client,Madrid,urban,40.39490908884164,-3.6243563073984393,particular,3,1,7,480,1080
1756,Madrid – Cliente 2300,client,Madrid,urban,40.37363255421457,-3.6768336684904015,particular,1,0,8,480,1080
1596,Madrid – Cliente 2083,client,Madrid,urban,40.40021240915976,-3.5863588083210907,particular,3,1,5,480,1080
2141,Madrid – Cliente 2826,client,Madrid,regional,39.97230271757385,-4.346622990776136,particular,1,0,7,480,1080
544,Madrid – Cliente 0703,client,Madrid,urban,40.43747800151255,-3.526046730403224,tienda,10,0,10,480,1080
1769,Madrid – Cliente 2319,client,Madrid,urban,40.35303607418954,-3.6268240261698894,tienda,17,1,14,480,1080
1571,Madrid – Cliente 2052,client,Madrid,urban,40.33388879831215,-3.553404871408017,particular,1,0,7,480,1080
2055,Madrid – Cliente 2711,client,Madrid,periurban,40.2634526064967,-3.505883520573962,particular,5,0,7,480,1080
1963,Madrid – Cliente 2584,client,Madrid,periurban,40.34952380714672,-3.43983616480175,tienda,9,0,15,480,1080
2088,Madrid – Cliente 2758,client,Madrid,regional,41.11850188350325,-4.780866654006295,tienda,16,0,17,480,1080
1607,Madrid – Cliente 2100,client,Madrid,urban,40.39758657902856,-3.599086312393151,particular,1,1,5,480,1080
1620,Madrid – Cliente 2117,client,Madrid,urban,40.44044818240101,-3.624790549615856,particular,2,0,8,480,1080
2177,Madrid – Cliente 2872,client,Madrid,regional,41.8591999078515,-5.071340315040966,tienda,7,0,11,480,1080
479,Madrid – Cliente 0623,client,Madrid,urban,40.35529877914709,-3.7512126246761297,particular,1,0,5,480,1080
678,Madrid – Cliente 0878,client,Madrid,urban,40.47859146161437,-3.558019740536376,tienda,13,0,20,480,1080
2123,Madrid – Cliente 2801,client,Madrid,regional,40.95573276339921,-3.301305983115488,particular,2,0,6,480,1080
842,Madrid – Cliente 1099,client,Madrid,periurban,40.50011115506418,-3.742224021592063,tienda,13,0,20,480,1080
1755,Madrid – Cliente 2299,client,Madrid,urban,40.39863124921555,-3.601395957857396,particular,2,1,5,480,1080
711,Madrid – Cliente 0924,client,Madrid,urban,40.379396989720654,-3.672539867436638,particular,3,0,8,480,1080
80,Madrid – Cliente 0097,client,Madrid,urban,40.41972278382176,-3.656568442008601,particular,1,0,6,480,1080
519,Madrid – Cliente 0674,client,Madrid,urban,40.38087979467858,-3.5957294142480456,particular,3,1,7,480,1080
105,Madrid – Cliente 0130,client,Madrid,urban,40.32996195833028,-3.547936010831517,particular,1,0,6,480,1080
1982,Madrid – Cliente 2612,client,Madrid,periurban,40.27646153692897,-3.5992435156034324,tienda,14,0,13,480,1080
751,Madrid – Cliente 0976,client,Madrid,periurban,40.36816365821481,-3.790368652336176,tienda,19,0,12,480,1080
812,Madrid – Cliente 1056,client,Madrid,periurban,40.481171652522605,-3.4383787750467096,particular,1,0,8,480,1080
1919,Madrid – Cliente 2519,client,Madrid,urban,40.31275120844749,-3.5838118267521786,particular,1,0,5,480,1080
2038,Madrid – Cliente 2686,client,Madrid,periurban,40.27929968965706,-3.8009935790996847,particular,2,0,5,480,1080
924,Madrid – Cliente 1217,client,Madrid,regional,40.11501344254531,-1.4095788598535943,particular,1,0,5,480,1080
505,Madrid – Cliente 0654,client,Madrid,urban,40.31427370809153,-3.5977535091586748,tienda,14,0,20,480,1080
