Nodo;X;Y;Demanda
1;2.0;857.0;0
2;407.0;102.0;6
3;915.0;965.0;1
4;797.0;45.0;10
5;997.0;241.0;7
6;650.0;683.0;6
7;748.0;248.0;2
8;99.0;174.0;8
9;2.0;545.0;7
10;277.0;689.0;3
11;568.0;771.0;5
12;76.0;105.0;1
13;117.0;973.0;4
14;171.0;971.0;10
15;327.0;183.0;4
16;277.0;697.0;10
17;269.0;246.0;3
18;670.0;18.0;6
19;51.0;901.0;4
20;951.0;696.0;3
21;710.0;102.0;10
22;61.0;465.0;8
23;348.0;606.0;6
24;551.0;243.0;7
25;524.0;793.0;7
26;89.0;582.0;4
27;900.0;748.0;1
28;235.0;368.0;5
29;122.0;587.0;3
30;449.0;781.0;6
31;970.0;38.0;8
32;362.0;490.0;5
33;742.0;267.0;9
34;289.0;115.0;6
35;898.0;957.0;9
36;996.0;922.0;9
37;951.0;633.0;4
38;713.0;779.0;1
39;603.0;247.0;9
40;402.0;363.0;10
41;143.0;0.0;2
42;274.0;608.0;4
43;81.0;422.0;1
44;550.0;408.0;10
45;43.0;699.0;1
46;482.0;575.0;10
47;909.0;254.0;2
48;613.0;37.0;10
49;202.0;575.0;1
50;297.0;297.0;4
51;736.0;288.0;5
52;464.0;127.0;5
53;499.0;491.0;6
54;635.0;531.0;6
55;796.0;328.0;9
56;184.0;941.0;4
57;641.0;824.0;4
58;863.0;673.0;9
59;396.0;950.0;3
60;555.0;631.0;7
61;664.0;966.0;6
62;301.0;260.0;8
63;425.0;990.0;5
64;559.0;746.0;9
65;431.0;827.0;3
66;724.0;472.0;9
67;847.0;51.0;1
68;888.0;721.0;1
69;136.0;331.0;5
70;859.0;627.0;7
71;206.0;5.0;6
72;429.0;381.0;6
73;798.0;918.0;9
74;886.0;684.0;3
75;123.0;488.0;8
76;779.0;445.0;5
77;764.0;43.0;9
78;938.0;743.0;10
79;800.0;398.0;9
80;734.0;20.0;5
81;211.0;678.0;9
82;601.0;545.0;5
83;512.0;403.0;10
84;796.0;106.0;1
85;644.0;810.0;2
86;416.0;973.0;9
87;115.0;435.0;3
88;667.0;91.0;8
89;395.0;941.0;2
90;374.0;546.0;6
91;546.0;191.0;1
92;754.0;255.0;3
93;124.0;588.0;1
94;423.0;929.0;8
95;314.0;637.0;8
96;668.0;268.0;6
97;321.0;786.0;9
