Nodo;X;Y;Demanda;Capacidad
1;0.0;0.0;0;6
2;971.0;544.0;1;
3;564.0;976.0;1;
4;266.0;4.0;1;
5;395.0;95.0;1;
6;379.0;271.0;1;
7;936.0;538.0;1;
8;980.0;578.0;1;
9;242.0;92.0;1;
10;476.0;74.0;1;
11;247.0;159.0;1;
12;359.0;108.0;1;
13;473.0;941.0;1;
14;490.0;947.0;1;
15;548.0;950.0;1;
16;389.0;864.0;1;
17;916.0;664.0;1;
18;212.0;91.0;1;
19;415.0;182.0;1;
20;961.0;553.0;1;
21;423.0;232.0;1;
22;596.0;931.0;1;
23;955.0;566.0;1;
24;534.0;93.0;1;
25;252.0;6.0;1;
26;950.0;580.0;1;
27;517.0;950.0;1;
28;942.0;618.0;1;
29;636.0;981.0;1;
30;629.0;809.0;1;
31;508.0;35.0;1;
32;108.0;130.0;1;
33;391.0;19.0;1;
34;208.0;183.0;1;
35;991.0;680.0;1;
36;428.0;48.0;1;
37;272.0;220.0;1;
38;931.0;581.0;1;
39;327.0;128.0;1;
40;966.0;514.0;1;
41;313.0;202.0;1;
42;267.0;1.0;1;
43;404.0;925.0;1;
44;985.0;594.0;1;
45;895.0;429.0;1;
46;348.0;12.0;1;
47;316.0;258.0;1;
48;238.0;20.0;1;
49;970.0;490.0;1;
50;854.0;586.0;1;
51;293.0;104.0;1;
52;628.0;919.0;1;
53;880.0;597.0;1;
54;353.0;241.0;1;
55;753.0;728.0;1;
56;291.0;93.0;1;
57;993.0;439.0;1;
58;382.0;125.0;1;
59;230.0;36.0;1;
60;984.0;471.0;1;
61;489.0;23.0;1;
62;277.0;137.0;1;
63;593.0;171.0;1;
64;378.0;204.0;1;
65;411.0;87.0;1;
66;207.0;85.0;1;
67;538.0;991.0;1;
68;906.0;631.0;1;
69;343.0;72.0;1;
70;445.0;68.0;1;
71;673.0;268.0;1;
72;576.0;951.0;1;
73;388.0;66.0;1;
74;953.0;504.0;1;
75;434.0;145.0;1;
76;530.0;11.0;1;
77;632.0;879.0;1;
78;541.0;968.0;1;
79;353.0;851.0;1;
80;629.0;868.0;1;
81;593.0;896.0;1;
82;936.0;411.0;1;
83;272.0;40.0;1;
84;276.0;93.0;1;
85;469.0;169.0;1;
86;359.0;894.0;1;
87;548.0;998.0;1;
88;52.0;69.0;1;
89;397.0;58.0;1;
90;507.0;145.0;1;
91;451.0;162.0;1;
92;646.0;996.0;1;
93;532.0;906.0;1;
94;220.0;126.0;1;
95;536.0;831.0;1;
96;482.0;212.0;1;
97;137.0;53.0;1;
98;511.0;991.0;1;
99;978.0;506.0;1;
100;300.0;111.0;1;
101;907.0;711.0;1;
102;908.0;488.0;1;
103;222.0;137.0;1;
104;266.0;48.0;1;
105;423.0;67.0;1;
106;268.0;125.0;1;
107;434.0;25.0;1;
108;548.0;982.0;1;
109;511.0;888.0;1;
110;371.0;256.0;1;
111;440.0;179.0;1;
112;331.0;82.0;1;
113;965.0;439.0;1;
114;545.0;968.0;1;
115;447.0;40.0;1;
116;785.0;664.0;1;
117;915.0;669.0;1;
118;468.0;98.0;1;
119;247.0;6.0;1;
120;271.0;70.0;1;
121;260.0;110.0;1;
122;902.0;679.0;1;
123;926.0;874.0;1;
124;587.0;988.0;1;
125;368.0;419.0;1;
126;351.0;158.0;1;
127;967.0;685.0;1;
128;559.0;968.0;1;
129;278.0;56.0;1;
130;877.0;507.0;1;
131;353.0;164.0;1;
132;984.0;540.0;1;
133;380.0;89.0;1;
134;886.0;376.0;1;
135;943.0;408.0;1;
136;420.0;204.0;1;
137;386.0;78.0;1;
138;219.0;18.0;1;
139;497.0;961.0;1;
140;542.0;965.0;1;
141;718.0;869.0;1;
142;297.0;45.0;1;
143;414.0;69.0;1;
144;606.0;959.0;1;
145;575.0;99.0;1;
146;330.0;101.0;1;
147;364.0;74.0;1;
148;257.0;22.0;1;
149;371.0;64.0;1;
150;600.0;994.0;1;
151;951.0;536.0;1;
152;534.0;896.0;1;
153;297.0;96.0;1;
154;467.0;149.0;1;
155;438.0;917.0;1;
156;385.0;883.0;1;
157;233.0;239.0;1;
158;481.0;945.0;1;
159;414.0;128.0;1;
160;602.0;752.0;1;
161;592.0;151.0;1;
162;267.0;82.0;1;
163;587.0;946.0;1;
164;728.0;991.0;1;
165;242.0;136.0;1;
166;292.0;9.0;1;
167;916.0;480.0;1;
168;494.0;918.0;1;
169;2.0;149.0;1;
170;24.0;105.0;1;
171;933.0;577.0;1;
172;227.0;49.0;1;
173;651.0;947.0;1;
174;991.0;512.0;1;
175;805.0;704.0;1;
176;253.0;66.0;1;
177;628.0;824.0;1;
178;199.0;18.0;1;
179;833.0;534.0;1;
180;633.0;864.0;1;
181;343.0;42.0;1;
182;565.0;991.0;1;
183;603.0;996.0;1;
