Nodo;X;Y;Demanda
1;0.0;0.0;0
2;776.0;985.0;82
3;103.0;854.0;96
4;965.0;613.0;10
5;804.0;983.0;80
6;290.0;21.0;85
7;911.0;31.0;69
8;791.0;809.0;56
9;822.0;996.0;69
10;835.0;701.0;9
11;195.0;181.0;1
12;910.0;477.0;10
13;653.0;449.0;57
14;715.0;330.0;10
15;12.0;956.0;98
16;776.0;173.0;9
17;29.0;221.0;5
18;905.0;116.0;4
19;335.0;889.0;7
20;433.0;74.0;78
21;275.0;647.0;10
22;601.0;408.0;8
23;120.0;302.0;77
24;40.0;531.0;5
25;673.0;83.0;8
26;791.0;576.0;10
27;571.0;62.0;5
28;822.0;75.0;8
29;218.0;176.0;3
30;240.0;562.0;6
31;908.0;94.0;7
32;28.0;229.0;91
33;704.0;815.0;84
34;422.0;934.0;6
35;703.0;563.0;3
36;318.0;535.0;2
37;331.0;407.0;4
38;982.0;777.0;56
39;993.0;860.0;93
40;885.0;422.0;65
41;136.0;500.0;1
42;97.0;831.0;63
43;758.0;52.0;52
44;630.0;407.0;72
45;521.0;97.0;4
46;371.0;701.0;1
47;254.0;3.0;5
48;348.0;535.0;3
49;679.0;621.0;1
50;173.0;549.0;2
51;578.0;554.0;65
52;393.0;170.0;7
53;909.0;655.0;4
54;100.0;652.0;57
55;702.0;805.0;10
56;150.0;43.0;8
57;371.0;554.0;7
58;503.0;856.0;93
59;319.0;383.0;3
60;446.0;500.0;8
61;787.0;776.0;95
62;848.0;710.0;70
63;52.0;151.0;10
64;378.0;347.0;3
65;107.0;261.0;10
66;81.0;266.0;70
67;228.0;946.0;70
68;201.0;328.0;7
69;972.0;716.0;75
70;807.0;856.0;92
71;163.0;363.0;9
72;492.0;895.0;92
73;383.0;834.0;90
74;506.0;586.0;9
75;703.0;675.0;5
76;360.0;878.0;7
77;487.0;341.0;4
78;550.0;574.0;2
79;91.0;27.0;2
80;354.0;415.0;4
81;512.0;878.0;10
82;344.0;69.0;10
83;920.0;643.0;1
84;910.0;294.0;4
85;303.0;88.0;1
86;269.0;49.0;61
87;854.0;105.0;1
88;766.0;667.0;5
89;467.0;45.0;94
90;571.0;223.0;97
91;396.0;471.0;3
92;427.0;589.0;4
93;165.0;589.0;1
94;690.0;645.0;5
95;37.0;63.0;50
96;480.0;794.0;3
97;701.0;691.0;3
98;128.0;691.0;9
99;199.0;568.0;51
100;628.0;606.0;7
101;526.0;461.0;8
102;892.0;232.0;54
103;776.0;556.0;10
104;692.0;5.0;7
105;868.0;87.0;100
106;64.0;906.0;4
107;566.0;576.0;6
108;626.0;384.0;2
109;803.0;433.0;2
110;493.0;746.0;5
111;337.0;368.0;5
112;889.0;101.0;8
113;809.0;519.0;96
114;97.0;387.0;3
115;799.0;64.0;3
116;782.0;627.0;4
117;510.0;745.0;89
118;612.0;996.0;78
119;325.0;749.0;5
120;623.0;316.0;5
121;841.0;368.0;5
122;391.0;5.0;1
123;585.0;734.0;9
124;395.0;210.0;10
125;681.0;985.0;8
126;91.0;129.0;7
127;305.0;615.0;83
128;893.0;425.0;4
129;244.0;831.0;77
130;589.0;851.0;6
131;811.0;3.0;6
132;348.0;515.0;9
133;102.0;515.0;4
134;570.0;200.0;5
135;764.0;378.0;10
136;232.0;561.0;85
137;390.0;913.0;58
138;748.0;28.0;2
139;833.0;955.0;6
140;391.0;196.0;52
141;205.0;674.0;10
142;315.0;494.0;8
143;682.0;717.0;7
144;936.0;725.0;64
145;146.0;972.0;2
146;245.0;557.0;2
147;412.0;130.0;56
148;583.0;485.0;4
149;489.0;446.0;7
150;860.0;19.0;1
151;907.0;184.0;7
152;408.0;630.0;7
153;731.0;336.0;5
154;104.0;666.0;4
155;280.0;14.0;62
156;291.0;792.0;1
157;241.0;744.0;5
158;798.0;858.0;6
159;389.0;426.0;1
160;486.0;8.0;3
161;995.0;736.0;10
162;505.0;485.0;1
163;490.0;371.0;88
164;307.0;498.0;7
165;527.0;138.0;10
166;456.0;116.0;9
167;974.0;545.0;6
168;550.0;887.0;3
169;744.0;880.0;77
170;62.0;659.0;9
171;282.0;726.0;5
172;155.0;973.0;10
173;590.0;287.0;10
174;317.0;509.0;7
175;968.0;769.0;66
176;442.0;450.0;73
177;587.0;122.0;3
178;199.0;880.0;6
179;928.0;970.0;4
180;168.0;273.0;4
181;141.0;228.0;73
182;835.0;89.0;92
183;130.0;252.0;92
184;21.0;898.0;4
185;411.0;728.0;1
186;847.0;383.0;9
187;34.0;384.0;53
188;598.0;882.0;1
189;342.0;838.0;58
190;907.0;285.0;3
191;914.0;970.0;6
192;400.0;880.0;99
193;616.0;865.0;56
194;777.0;917.0;65
195;644.0;196.0;99
196;699.0;635.0;5
197;396.0;339.0;10
198;708.0;343.0;5
199;967.0;229.0;2
200;357.0;346.0;5
201;536.0;394.0;2
202;376.0;294.0;3
203;130.0;463.0;4
204;512.0;355.0;4
205;935.0;552.0;85
206;408.0;606.0;1
207;103.0;373.0;10
208;629.0;634.0;9
209;48.0;431.0;10
210;546.0;265.0;1
211;313.0;63.0;10
212;146.0;719.0;1
213;887.0;40.0;7
214;957.0;629.0;2
215;164.0;730.0;5
216;108.0;900.0;74
217;988.0;462.0;80
218;330.0;128.0;3
219;68.0;980.0;3
220;781.0;906.0;9
221;492.0;648.0;6
222;58.0;326.0;3
223;707.0;844.0;77
224;957.0;595.0;69
225;115.0;167.0;2
226;294.0;634.0;2
227;14.0;338.0;6
228;14.0;903.0;10
229;209.0;289.0;4
230;252.0;8.0;8
231;573.0;311.0;10
232;528.0;565.0;57
233;844.0;606.0;51
234;519.0;56.0;5
235;887.0;238.0;9
236;605.0;891.0;56
237;78.0;72.0;91
238;40.0;239.0;1
239;512.0;737.0;4
240;443.0;128.0;5
241;634.0;246.0;58
242;445.0;722.0;64
243;199.0;938.0;3
244;34.0;242.0;5
245;373.0;230.0;3
246;900.0;18.0;7
247;551.0;70.0;7
248;284.0;892.0;94
249;8.0;234.0;9
250;395.0;708.0;1
251;545.0;965.0;4
252;872.0;712.0;5
253;315.0;926.0;2
254;589.0;787.0;77
255;829.0;398.0;9
256;888.0;747.0;2
257;77.0;725.0;96
258;16.0;185.0;3
259;384.0;924.0;79
260;74.0;831.0;64
261;960.0;608.0;6
262;277.0;480.0;3
263;917.0;795.0;7
264;550.0;535.0;2
265;274.0;706.0;3
266;649.0;438.0;61
267;49.0;360.0;95
268;961.0;175.0;2
269;660.0;701.0;3
270;273.0;586.0;5
271;782.0;378.0;3
272;378.0;971.0;2
273;172.0;643.0;3
274;673.0;892.0;5
275;142.0;255.0;67
276;119.0;644.0;8
277;832.0;291.0;7
278;584.0;292.0;10
279;759.0;152.0;5
280;218.0;460.0;84
281;988.0;994.0;63
282;953.0;432.0;1
283;545.0;214.0;3
284;787.0;854.0;74
285;631.0;820.0;8
286;55.0;435.0;2
287;836.0;433.0;90
288;60.0;936.0;1
289;536.0;897.0;4
290;528.0;0.0;51
291;518.0;23.0;5
292;514.0;953.0;1
293;943.0;644.0;7
294;927.0;840.0;2
295;820.0;463.0;1
296;154.0;501.0;7
297;267.0;913.0;59
298;349.0;264.0;73
299;215.0;618.0;6
300;88.0;828.0;7
301;676.0;524.0;10
302;403.0;360.0;6
303;17.0;127.0;3
304;220.0;286.0;82
305;0.0;42.0;64
306;716.0;491.0;3
307;640.0;649.0;7
308;238.0;495.0;3
