Nodo;X;Y;Demanda;Capacidad
1;500.0;500.0;0;237
2;789.0;865.0;8;
3;540.0;553.0;10;
4;744.0;148.0;9;
5;485.0;442.0;3;
6;983.0;431.0;4;
7;886.0;734.0;8;
8;632.0;553.0;10;
9;9.0;0.0;7;
10;800.0;757.0;3;
11;485.0;523.0;91;
12;802.0;351.0;4;
13;615.0;937.0;7;
14;401.0;350.0;71;
15;964.0;343.0;2;
16;646.0;340.0;1;
17;12.0;836.0;8;
18;428.0;861.0;3;
19;269.0;479.0;3;
20;66.0;245.0;89;
21;393.0;387.0;1;
22;273.0;949.0;66;
23;740.0;277.0;1;
24;999.0;520.0;6;
25;861.0;551.0;10;
26;387.0;202.0;1;
27;583.0;94.0;2;
28;697.0;559.0;7;
29;350.0;455.0;8;
30;353.0;353.0;1;
31;740.0;587.0;8;
32;615.0;585.0;10;
33;463.0;236.0;10;
34;230.0;553.0;7;
35;467.0;233.0;71;
36;472.0;337.0;5;
37;948.0;616.0;10;
38;634.0;69.0;9;
39;67.0;824.0;67;
40;53.0;941.0;98;
41;577.0;291.0;59;
42;245.0;469.0;5;
43;728.0;945.0;5;
44;905.0;816.0;1;
45;678.0;483.0;4;
46;685.0;317.0;2;
47;888.0;311.0;2;
48;945.0;144.0;10;
49;291.0;138.0;4;
50;610.0;284.0;8;
51;222.0;590.0;3;
52;814.0;914.0;55;
53;269.0;551.0;4;
54;309.0;586.0;3;
55;714.0;384.0;2;
56;779.0;358.0;2;
57;673.0;767.0;4;
58;56.0;743.0;4;
59;698.0;794.0;1;
60;400.0;553.0;3;
61;537.0;408.0;4;
62;849.0;478.0;2;
63;46.0;730.0;3;
64;505.0;948.0;4;
65;841.0;85.0;10;
66;111.0;944.0;8;
67;37.0;829.0;7;
68;224.0;796.0;1;
69;271.0;800.0;5;
70;688.0;58.0;7;
71;615.0;465.0;1;
72;990.0;438.0;7;
73;695.0;345.0;9;
74;592.0;678.0;4;
75;3.0;899.0;8;
76;958.0;949.0;10;
77;741.0;11.0;7;
78;104.0;960.0;6;
79;30.0;488.0;10;
80;694.0;915.0;6;
81;753.0;501.0;8;
82;479.0;867.0;10;
83;363.0;714.0;3;
84;532.0;217.0;8;
85;310.0;539.0;10;
86;8.0;277.0;9;
87;464.0;343.0;6;
88;897.0;785.0;8;
89;88.0;739.0;6;
90;225.0;259.0;1;
91;678.0;790.0;4;
92;735.0;451.0;3;
93;76.0;124.0;7;
94;294.0;15.0;6;
95;631.0;274.0;4;
96;321.0;99.0;10;
97;415.0;809.0;3;
98;472.0;241.0;4;
99;679.0;184.0;6;
100;630.0;430.0;8;
101;813.0;929.0;6;
102;285.0;633.0;10;
103;752.0;280.0;5;
104;494.0;561.0;3;
105;674.0;958.0;2;
106;925.0;649.0;9;
107;675.0;842.0;10;
108;568.0;506.0;9;
109;553.0;362.0;7;
110;599.0;588.0;6;
111;903.0;810.0;2;
112;61.0;67.0;4;
113;545.0;926.0;7;
114;69.0;456.0;10;
115;269.0;54.0;6;
116;348.0;529.0;2;
117;113.0;444.0;6;
118;240.0;374.0;2;
119;394.0;643.0;8;
120;819.0;88.0;6;
121;644.0;853.0;9;
122;594.0;680.0;73;
123;352.0;323.0;2;
124;630.0;106.0;2;
125;867.0;356.0;1;
126;811.0;379.0;4;
127;357.0;734.0;7;
128;47.0;374.0;6;
129;527.0;568.0;2;
130;216.0;668.0;6;
131;227.0;914.0;1;
132;935.0;258.0;1;
133;793.0;855.0;5;
134;856.0;352.0;9;
135;67.0;598.0;1;
136;639.0;46.0;9;
137;274.0;848.0;9;
138;885.0;362.0;5;
139;677.0;290.0;8;
140;488.0;944.0;9;
141;14.0;822.0;5;
142;309.0;686.0;8;
143;291.0;495.0;6;
144;101.0;268.0;2;
145;578.0;802.0;9;
146;430.0;981.0;8;
147;290.0;205.0;61;
148;1.0;6.0;9;
149;577.0;843.0;2;
150;673.0;628.0;1;
151;656.0;358.0;10;
152;682.0;746.0;4;
153;438.0;364.0;7;
154;811.0;898.0;9;
155;152.0;5.0;8;
156;101.0;238.0;3;
157;391.0;862.0;10;
158;251.0;721.0;10;
159;989.0;623.0;8;
160;186.0;364.0;6;
161;119.0;478.0;6;
162;980.0;854.0;1;
163;713.0;629.0;1;
164;294.0;510.0;1;
165;777.0;784.0;9;
166;741.0;47.0;6;
167;498.0;328.0;4;
168;894.0;519.0;76;
169;787.0;331.0;3;
170;275.0;31.0;9;
171;99.0;209.0;6;
172;705.0;598.0;6;
173;411.0;687.0;10;
174;345.0;167.0;10;
175;863.0;749.0;2;
176;174.0;733.0;3;
177;920.0;855.0;3;
178;833.0;394.0;4;
179;191.0;288.0;10;
180;895.0;732.0;1;
181;161.0;373.0;9;
182;15.0;86.0;7;
183;199.0;213.0;10;
184;368.0;351.0;2;
185;633.0;422.0;6;
186;815.0;511.0;100;
187;29.0;310.0;5;
188;660.0;648.0;8;
189;402.0;136.0;10;
190;187.0;866.0;1;
191;412.0;465.0;2;
192;161.0;599.0;6;
193;255.0;339.0;9;
194;844.0;492.0;1;
195;139.0;852.0;10;
196;156.0;814.0;5;
197;875.0;462.0;1;
198;791.0;836.0;10;
199;445.0;264.0;7;
200;861.0;896.0;3;
201;151.0;90.0;9;
202;122.0;486.0;4;
203;729.0;310.0;5;
204;782.0;808.0;8;
205;449.0;549.0;7;
206;888.0;657.0;5;
207;500.0;351.0;4;
208;780.0;313.0;7;
209;145.0;758.0;10;
210;575.0;522.0;6;
211;899.0;413.0;6;
212;499.0;353.0;5;
213;339.0;200.0;6;
214;83.0;328.0;5;
215;106.0;837.0;8;
216;455.0;870.0;2;
217;710.0;984.0;5;
218;345.0;948.0;78;
219;89.0;802.0;5;
220;71.0;662.0;2;
221;225.0;719.0;3;
222;579.0;264.0;9;
223;923.0;545.0;4;
224;145.0;929.0;10;
225;112.0;732.0;96;
226;612.0;813.0;5;
227;205.0;369.0;7;
228;645.0;980.0;5;
229;156.0;737.0;6;
230;788.0;336.0;8;
231;538.0;827.0;5;
232;723.0;381.0;5;
233;966.0;214.0;2;
234;345.0;711.0;10;
235;401.0;821.0;74;
236;453.0;756.0;6;
237;202.0;820.0;4;
